name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
RAPSYS Danas,Lithuania,21 May 1995,Swimming,26,Male,NA,NA,PANEVEZYS,Lithuania,PANEVEZYS,Lithuania,Men's 400m Freestyle,,NA
RAPSYS Danas,Lithuania,21 May 1995,Swimming,26,Male,NA,NA,PANEVEZYS,Lithuania,PANEVEZYS,Lithuania,Men's 200m Individual Medley,,NA
RAPSYS Danas,Lithuania,21 May 1995,Swimming,26,Male,NA,NA,PANEVEZYS,Lithuania,PANEVEZYS,Lithuania,Men's 4 x 100m Medley Relay,,NA
RAROVSKAYA Anastasiya,Belarus,19 Jun 1996,Athletics,25,Female,NA,NA,,,GRODNO,Belarus,Women's 20km Race Walk,23,NA
RASHCHUPKINA Viktoryia,Belarus,23 May 1995,Athletics,26,Female,NA,NA,BREST,Belarus,BREST,Belarus,Women's 20km Race Walk,49,NA
RASHIDOV Gadzhimurad,ROC,30 Oct 1995,Wrestling,25,Male,NA,NA,LENINKENT,Russian Federation,,,Men's Freestyle 65kg,3,Bronze
RASHITOV Ulugbek,Uzbekistan,23 Mar 2002,Taekwondo,19,Male,NA,NA,,,,,Men -68kg,1,Gold
RASIC Milena,Serbia,25 Oct 1990,Volleyball,30,Female,1.93,6'3'',PRISTINA,Kosovo,BELGRADE,Serbia,Women,3,Bronze
RASMANE Agate,Latvia,22 Aug 1997,Shooting,23,Female,NA,NA,DOBELE,Latvia,JELGAVA,Latvia,10m Air Pistol Women,19,NA
RASMANE Agate,Latvia,22 Aug 1997,Shooting,23,Female,NA,NA,DOBELE,Latvia,JELGAVA,Latvia,25m Pistol Women,37,NA
RASMUSSEN Anders Skaarup,Denmark,15 Feb 1989,Badminton,32,Male,NA,NA,ODDER,Denmark,,,Men's Doubles,5,NA
RASMUSSEN Hedvig Laerke,Denmark,22 Dec 1993,Rowing,27,Female,1.87,6'1'',FREDERIKSBERG,Denmark,COPENHAGEN,Denmark,Women's Pair,8,NA
RASOLONJATOVO Heriniavo,Madagascar,24 May 1998,Swimming,23,Male,NA,NA,,,ANTANANARIVO,Madagascar,Men's 100m Backstroke,,NA
RASOVIC Strahinja,Serbia,9 Mar 1992,Water Polo,29,Male,NA,NA,BELGRADE,Serbia,,,Men,1,Gold
RASOVSZKY Kristof,Hungary,27 Mar 1997,Marathon Swimming,24,Male,NA,NA,VESZPREM,Hungary,KIRALYSZENTISTVAN,Hungary,Men's 10km,2,Silver
RASULBEKOV Bekdoolot,Kyrgyzstan,12 Aug 1996,Weightlifting,24,Male,NA,NA,TOKTOGUL,Kyrgyzstan,BISHKEK,Kyrgyzstan,Men's 96kg,6,NA
RATCLIFFE Julia,New Zealand,14 Jul 1993,Athletics,28,Female,NA,NA,HAMILTON,New Zealand,HAMILTON,New Zealand,Women's Hammer Throw,9,NA
RATKOV Aleksandar,Serbia,11 Mar 1992,3x3 Basketball,29,Male,1.94,6'4'',BELGRADE,Serbia,NOVI SAD,Serbia,Men,3,Bronze
RATOVA Aiman,Kazakhstan,23 Apr 1991,Athletics,30,Female,NA,NA,TALDYKORGAN,Kazakhstan,ALMATY,Kazakhstan,Women's 20km Race Walk,42,NA
RATZKE Roberta Silva,Brazil,28 Apr 1990,Volleyball,31,Female,1.85,6'0'',CURITIBA,Brazil,,,Women,2,Silver
RAUHE Ronald,Germany,3 Oct 1981,Canoe Sprint,39,Male,1.79,5'10'',,,,,Men's Kayak Four 500m,1,Gold
RAUM David,Germany,22 Apr 1998,Football,23,Male,1.81,5'11'',NUREMBERG,Germany,,,Men,9,NA
RAVERA-SCARAMOZZINO Elodie,France,19 Sep 1995,Rowing,25,Female,1.70,5'6'',NICE,France,NICE,France,Women's Double Sculls,8,NA
RAVI Kumar,India,12 Dec 1997,Wrestling,23,Male,NA,NA,SONIPAT,India,SONIPAT,India,Men's Freestyle 57kg,2,Silver
RAVNIKAR Ziga,Slovenia,25 Dec 1999,Archery,21,Male,NA,NA,,,DOMZALE,Slovenia,Men's Individual,33,NA
RAVSHANBEKOVA Dinara,Uzbekistan,25 Sep 1999,Rhythmic Gymnastics,21,Female,1.70,5'6'',TASHKENT,Uzbekistan,TASHKENT,Uzbekistan,Group All-Around,,NA
RAYAN Ahmed,Egypt,24 Jan 1998,Football,23,Male,1.90,6'2'',,,CAIRO,Egypt,Men,8,NA
RAYER Elena Sian,Great Britain,22 Nov 1996,Hockey,24,Female,1.69,5'6'',SLOUGH,Great Britain,MAIDENHEAD,Great Britain,Women,3,Bronze
RAYHAN Mohammad Jahir,Bangladesh,25 Apr 2001,Athletics,20,Male,NA,NA,,,DHAKA,Bangladesh,Men's 400m,,NA
RAYNER Jack,Australia,19 Dec 1995,Athletics,25,Male,NA,NA,"MELBOURNE, VIC",Australia,"MELBOURNE, VIC",Australia,Men's Marathon,DNF,NA
RAZ Lihie,Israel,14 Sep 2003,Artistic Gymnastics,17,Female,NA,NA,"NEW YORK, NY",United States of America,RAMAT HASHARON,Israel,Women's All-Around,,NA
RAZ Lihie,Israel,14 Sep 2003,Artistic Gymnastics,17,Female,NA,NA,"NEW YORK, NY",United States of America,RAMAT HASHARON,Israel,Women's Vault,,NA
RAZ Lihie,Israel,14 Sep 2003,Artistic Gymnastics,17,Female,NA,NA,"NEW YORK, NY",United States of America,RAMAT HASHARON,Israel,Women's Uneven Bars,,NA
RAZ Lihie,Israel,14 Sep 2003,Artistic Gymnastics,17,Female,NA,NA,"NEW YORK, NY",United States of America,RAMAT HASHARON,Israel,Women's Balance Beam,,NA
RAZ Lihie,Israel,14 Sep 2003,Artistic Gymnastics,17,Female,NA,NA,"NEW YORK, NY",United States of America,RAMAT HASHARON,Israel,Women's Floor Exercise,,NA
RAZARENOVA Alexandra,ROC,17 Jul 1990,Triathlon,31,Female,NA,NA,ST. PETERSBURG,Russian Federation,ST. PETERSBURG,Russian Federation,Women's Individual,LAP,NA
RAZARENOVA Alexandra,ROC,17 Jul 1990,Triathlon,31,Female,NA,NA,ST. PETERSBURG,Russian Federation,ST. PETERSBURG,Russian Federation,Mixed Relay,14,NA
RAZZETTI Alberto,Italy,2 Jun 1999,Swimming,22,Male,NA,NA,LAVAGNA,Italy,LIVORNO,Italy,Men's 200m Individual Medley,,NA
RAZZETTI Alberto,Italy,2 Jun 1999,Swimming,22,Male,NA,NA,LAVAGNA,Italy,LIVORNO,Italy,Men's 400m Individual Medley,8,NA
RDUCH Szymon,Poland,17 Aug 1989,3x3 Basketball,31,Male,1.97,6'5'',KOLOBRZEG,Poland,KOLOBRZEG,Poland,Men,7,NA
RE Davide,Italy,16 Mar 1993,Athletics,28,Male,NA,NA,MILAN,Italy,RIETI,Italy,Men's 400m,,NA
RE Davide,Italy,16 Mar 1993,Athletics,28,Male,NA,NA,MILAN,Italy,RIETI,Italy,Men's 4 x 400m Relay,7,NA
REAIS William,Switzerland,4 May 1999,Athletics,22,Male,NA,NA,,,SWITZERLAND,,Men's 200m,,NA
REATH Duop Thomas,Australia,26 Jun 1996,Basketball,25,Male,2.11,6'11'',,South Sudan,,,Men,3,Bronze
REBAGLIATI Chiara,Italy,23 Jan 1997,Archery,24,Female,NA,NA,,,,,Women's Individual,17,NA
REBAGLIATI Chiara,Italy,23 Jan 1997,Archery,24,Female,NA,NA,,,,,Women's Team,7,NA
REBAGLIATI Chiara,Italy,23 Jan 1997,Archery,24,Female,NA,NA,,,,,Mixed Team,9,NA
RECASENS LLOBET Marc,Spain,13 Sep 1999,Hockey,21,Male,1.77,5'9'',,,MATADEPERA,Spain,Men,8,NA
RECBER Hakan,Turkey,17 Aug 1999,Taekwondo,21,Male,1.78,5'10'',,,,,Men -68kg,3,Bronze
RECKFORD Mary,United States of America,9 Oct 1992,Rowing,28,Female,1.78,5'10'',,,"BOSTON, MA",United States of America,Lightweight Women's Double Sculls,5,NA
REDONDO MORA Laura,Spain,3 Jul 1988,Athletics,33,Female,NA,NA,BARCELONA,Spain,GAVA,Spain,Women's Hammer Throw,,NA
REED Janie,United States of America,15 Apr 1993,Baseball/Softball,28,Female,1.73,5'8'',"PLACENTIA, CA",United States of America,"SAN DIEGO, CA",United States of America,Softball,2,Silver
REED Patrick,United States of America,5 Aug 1990,Golf,31,Male,1.83,6'0'',"SAN ANTONIO, TX",United States of America,"HOUSTON, TX",United States of America,Men's Individual Stroke Play,22,NA
REEKIE Jemma,Great Britain,6 Mar 1998,Athletics,23,Female,NA,NA,,,GLASGOW,Great Britain,Women's 800m,4,NA
REESE Brittney,United States of America,9 Sep 1986,Athletics,34,Female,NA,NA,"INGLEWOOD, CA",United States of America,"SAN DIEGO, CA",United States of America,Women's Long Jump,2,Silver
REGAL Caitlin,New Zealand,9 Feb 1992,Canoe Sprint,29,Female,NA,NA,,,,,Women's Kayak Single 500m,9,NA
REGAL Caitlin,New Zealand,9 Feb 1992,Canoe Sprint,29,Female,NA,NA,,,,,Women's Kayak Double 500m,1,Gold
REGAL Caitlin,New Zealand,9 Feb 1992,Canoe Sprint,29,Female,NA,NA,,,,,Women's Kayak Four 500m,4,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's All-Around,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Floor Exercise,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Pommel Horse,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Rings,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Vault,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Parallel Bars,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Horizontal Bar,,NA
REGINI-MORAN Giarnni,Great Britain,2 Aug 1998,Artistic Gymnastics,23,Male,1.66,5'5'',GREAT YARMOUTH,Great Britain,DARTFORD,Great Britain,Men's Team,4,NA
REGULA Lauren,Canada,9 Aug 1981,Baseball/Softball,39,Female,1.73,5'8'',"TRAIL, BC",Canada,"AKRON, OH",United States of America,Softball,3,Bronze
REHAK STEFECEKOVA Zuzana,Slovakia,15 Jan 1984,Shooting,37,Female,NA,NA,NITRA,Slovakia,BRATISLAVA,Slovakia,Trap Women,1,Gold
REHAK STEFECEKOVA Zuzana,Slovakia,15 Jan 1984,Shooting,37,Female,NA,NA,NITRA,Slovakia,BRATISLAVA,Slovakia,Trap Mixed Team,4,NA
REICHMUTH Stefan,Switzerland,20 Sep 1994,Wrestling,26,Male,NA,NA,,,GROSSWANGEN,Switzerland,Men's Freestyle 86kg,8,NA
REID Grace,Great Britain,9 May 1996,Diving,25,Female,1.69,5'6'',EDINBURGH,Great Britain,LONDON,Great Britain,Women's 3m Springboard,19,NA
REID Grace,Great Britain,9 May 1996,Diving,25,Female,1.69,5'6'',EDINBURGH,Great Britain,LONDON,Great Britain,Women's Synchronised 3m Springboard,6,NA
REID Katie,Great Britain,26 Feb 1995,Canoe Sprint,26,Female,1.73,5'8'',,,,,Women's Canoe Single 200m,20,NA
REID Leon,Ireland,26 Jul 1994,Athletics,27,Male,NA,NA,BATH,Great Britain,BATH,Great Britain,Men's 200m,,NA
REID Mel,Great Britain,19 Sep 1987,Golf,33,Female,1.70,5'6'',DERBY,Great Britain,"JACKSONVILLE, FL",United States of America,Women's Individual Stroke Play,55,NA
REID Tayler,New Zealand,2 Oct 1996,Triathlon,24,Male,NA,NA,GISBORNE,New Zealand,GISBORNE,New Zealand,Men's Individual,18,NA
REID Tayler,New Zealand,2 Oct 1996,Triathlon,24,Male,NA,NA,GISBORNE,New Zealand,GISBORNE,New Zealand,Mixed Relay,12,NA
REID Winston,New Zealand,3 Jul 1988,Football,33,Male,1.91,6'3'',AUCKLAND,New Zealand,,,Men,6,NA
REID Zac,New Zealand,28 Jan 2000,Swimming,21,Male,1.88,6'2'',NEW PLYMOUTH,New Zealand,TARANAKI,New Zealand,Men's 400m Freestyle,,NA
REID Zac,New Zealand,28 Jan 2000,Swimming,21,Male,1.88,6'2'',NEW PLYMOUTH,New Zealand,TARANAKI,New Zealand,Men's 800m Freestyle,,NA
REINHARDT Theo,Germany,17 Sep 1990,Cycling Track,30,Male,1.77,5'9'',,,,,Men's Team Pursuit,6,NA
REINHARDT Theo,Germany,17 Sep 1990,Cycling Track,30,Male,1.77,5'9'',,,,,Men's Omnium,,NA
REINHARDT Theo,Germany,17 Sep 1990,Cycling Track,30,Male,1.77,5'9'',,,,,Men's Madison,9,NA
REINIER,Brazil,19 Jan 2002,Football,19,Male,1.85,6'0'',BRASILIA,Brazil,MADRID,Spain,Men,1,Gold
REINKIND Harald,Norway,17 Aug 1992,Handball,28,Male,1.97,6'5'',TONSBERG,Norway,KIEL,Germany,Men,7,NA
REINLE Cynthia,Switzerland,6 May 2000,Athletics,21,Female,1.63,5'4'',,,INTERLAKEN,Switzerland,Women's 4 x 100m Relay,4,NA
REINOSO Sofia,Mexico,23 Oct 1996,Canoe Slalom,24,Female,NA,NA,PUEBLA,Mexico,,,Women's Kayak,21,NA
REISTAD Henny,Norway,9 Feb 1999,Handball,22,Female,1.81,5'11'',OSLO,Norway,,,Women,3,Bronze
REITSHAMMER Bernhard,Austria,17 Jun 1994,Swimming,27,Male,NA,NA,,,LINZ,Austria,Men's 100m Backstroke,,NA
REITSHAMMER Bernhard,Austria,17 Jun 1994,Swimming,27,Male,NA,NA,,,LINZ,Austria,Men's 100m Breaststroke,,NA
REITSHAMMER Bernhard,Austria,17 Jun 1994,Swimming,27,Male,NA,NA,,,LINZ,Austria,Men's 200m Individual Medley,,NA
REITZ Christian,Germany,29 Apr 1987,Shooting,34,Male,1.84,6'0'',LOBAU,Germany,REGENSBURG,Germany,10m Air Pistol Men,5,NA
REITZ Christian,Germany,29 Apr 1987,Shooting,34,Male,1.84,6'0'',LOBAU,Germany,REGENSBURG,Germany,25m Rapid Fire Pistol Men,5,NA
REITZ Christian,Germany,29 Apr 1987,Shooting,34,Male,1.84,6'0'',LOBAU,Germany,REGENSBURG,Germany,10m Air Pistol Mixed Team,12,NA
REIZLIN Igor,Ukraine,7 Feb 1984,Fencing,37,Male,NA,NA,BENDER,Republic of Moldova,KYIV,Ukraine,Men's Épée Individual,3,Bronze
REIZLIN Igor,Ukraine,7 Feb 1984,Fencing,37,Male,NA,NA,BENDER,Republic of Moldova,KYIV,Ukraine,Men's Épée Team,6,NA
REJEPOV Rejepbay,Turkmenistan,23 Feb 1992,Weightlifting,29,Male,NA,NA,DASOGUZ,Turkmenistan,ASHGABAT,Turkmenistan,Men's 81kg,,NA
REMARENCO Ivan,United Arab Emirates,7 Aug 1988,Judo,33,Male,NA,NA,,Republic of Moldova,,,Men -100 kg,17,NA
REMILI Nedim,France,18 Jul 1995,Handball,26,Male,1.95,6'4'',CRETEIL,France,,,Men,1,Gold
RENDSCHMIDT Max,Germany,12 Dec 1993,Canoe Sprint,27,Male,1.86,6'1'',,,,,Men's Kayak Four 500m,1,Gold
RENGERUK Lilian Kasait,Kenya,3 May 1997,Athletics,24,Female,NA,NA,,,,,Women's 5000m,12,NA
RENNIE Gabi,New Zealand,7 Jul 2001,Football,20,Female,1.66,5'5'',,New Zealand,,,Women,12,NA
RENSHALL Lucy,Great Britain,11 Dec 1995,Judo,25,Female,NA,NA,,,WALSALL,Great Britain,Women -63 kg,17,NA
RENSHAW Molly,Great Britain,6 May 1996,Swimming,25,Female,NA,NA,MANSFIELD,Great Britain,LOUGHBOROUGH,Great Britain,Women's 200m Breaststroke,6,NA
RENZUTO IODICE Vincenzo,Italy,8 Apr 1993,Water Polo,28,Male,1.91,6'3'',"NAPLES",Italy,BRESCIA,Italy,Men,7,NA
REPACHOLI Daniel,Australia,15 May 1982,Shooting,39,Male,2.02,6'7'',"MELBOURNE, VIC",Australia,,,10m Air Pistol Men,30,NA
REPACHOLI Daniel,Australia,15 May 1982,Shooting,39,Male,2.02,6'7'',"MELBOURNE, VIC",Australia,,,10m Air Pistol Mixed Team,8,NA
REPISKA Martina,Slovakia,21 Oct 1995,Badminton,25,Female,NA,NA,ZVOLEN,Slovakia,ODENSE,Denmark,Women's Singles,15,NA
REPIYALLAGE Chamara,Sri Lanka,10 May 1992,Judo,29,Male,NA,NA,KANDY,Sri Lanka,,,Men -73 kg,17,NA
RESHETNIKOV Veniamin,ROC,28 Jul 1986,Fencing,35,Male,NA,NA,NOVOSIBIRSK,Russian Federation,NOVOSIBIRSK,Russian Federation,Men's Sabre Individual,20,NA
RESHETNIKOV Veniamin,ROC,28 Jul 1986,Fencing,35,Male,NA,NA,NOVOSIBIRSK,Russian Federation,NOVOSIBIRSK,Russian Federation,Men's Sabre Team,7,NA
RESSEL Dominic,Germany,5 Oct 1993,Judo,27,Male,NA,NA,KIEL,Germany,COLOGNE,Germany,Men -81 kg,5,NA
RESSEL Dominic,Germany,5 Oct 1993,Judo,27,Male,NA,NA,KIEL,Germany,COLOGNE,Germany,Mixed Team,3,Bronze
RESTIVO Matteo,Italy,4 Nov 1994,Swimming,26,Male,NA,NA,UDINE,Italy,FLORENCE,Italy,Men's 200m Backstroke,,NA
RESTREPO GARCIA Daniel,Colombia,24 Mar 2000,Diving,21,Male,NA,NA,,,MEDELLIN,Colombia,Men's 3m Springboard,17,NA
RETEGUI Micaela,Argentina,23 Apr 1996,Hockey,25,Female,NA,NA,SAN FERNANDO,Argentina,SAN FERNANDO,Argentina,Women,2,Silver
RETORNAZ Aloise,France,3 Feb 1994,Sailing,27,Female,1.76,5'9'',BREST,France,BREST,France,Women's Two Person Dinghy - 470,3,Bronze
RETZIUS Lene Onsrud,Norway,4 Jan 1996,Athletics,25,Female,NA,NA,,,BASEL,Switzerland,Women's Pole Vault,,NA
REUS Julian,Germany,29 Apr 1988,Athletics,33,Male,NA,NA,HANAU,Germany,ERFURT,Germany,Men's 4 x 100m Relay,6,NA
REUSSER Marlen,Switzerland,20 Sep 1991,Cycling Road,29,Female,NA,NA,,,HINDELBANK,Switzerland,Women's Road Race,46,NA
REUSSER Marlen,Switzerland,20 Sep 1991,Cycling Road,29,Female,NA,NA,,,HINDELBANK,Switzerland,Women's Individual Time Trial,2,Silver
REVISHVILI Irakli,Georgia,3 Nov 1988,Swimming,32,Male,NA,NA,,Georgia,,,Men's 400m Freestyle,,NA
REVOL Gaston,Argentina,26 Nov 1986,Rugby Sevens,34,Male,1.70,5'6'',CORDOBA,Argentina,,,Men,3,Bronze
REW Quentin,New Zealand,16 Jul 1984,Athletics,37,Male,NA,NA,WELLINGTON,New Zealand,"MELBOURNE, VIC",Australia,Men's 50km Race Walk,16,NA
REXHEPI Arbresha,North Macedonia,31 Oct 2000,Judo,20,Female,NA,NA,,,,,Women -52 kg,17,NA
REY Matias Alejandro,Argentina,1 Dec 1984,Hockey,36,Male,NA,NA,SAN FERNANDO,Argentina,,,Men,7,NA
REYES Denyi,Dominican Republic,2 Nov 1996,Baseball/Softball,24,Male,1.93,6'3'',SAN CRISTOBAL,Dominican Republic,,,Baseball,3,Bronze
REYES Jose,Honduras,5 Nov 1997,Football,23,Male,1.78,5'10'',TEGUCIGALPA,Honduras,,,Men,14,NA
REYES PLA Enmanuel,Spain,14 Dec 1992,Boxing,28,Male,NA,NA,HAVANA,Cuba,A CORUNYA,Spain,Men's Heavy (81-91kg),5,NA
REYNOLDS Heimana,United States of America,1 Aug 1998,Skateboarding,23,Male,NA,NA,"HONOLULU, HI",United States of America,"CARLSBAD, CA",United States of America,Men's Park,13,NA
REYNOLDS Lauren,Australia,25 Jun 1991,Cycling BMX Racing,30,Female,1.72,5'7'',"BUNBURY, WA",Australia,"SAN DIEGO, CA",United States of America,Women,5,NA
REYNOLDS Shannon,Australia,3 Jan 1995,Canoe Sprint,26,Female,1.73,5'8'',,,,,Women's Kayak Four 500m,7,NA
REZAEIFAR Navid,Islamic Republic of Iran,23 Aug 1996,Basketball,24,Male,1.91,6'3'',,,,,Men,12,NA
REZELMAN Timothy,South Africa,13 Jan 1995,Water Polo,26,Male,NA,NA,,,JOHANNESBURG,South Africa,Men,12,NA
REZENDE Bruno Mossa,Brazil,2 Jul 1986,Volleyball,35,Male,1.90,6'2'',RIO DE JANEIRO,Brazil,,,Men,4,NA
REZENDE Renato,Brazil,28 Feb 1991,Cycling BMX Racing,30,Male,NA,NA,RIO DE JANEIRO,Brazil,,,Men,14,NA
REZK MOSTAFA HAFEZ Yousry,Egypt,30 Aug 1993,Boxing,27,Male,NA,NA,CAIRO,Egypt,ALEXANDRIA,Egypt,Men's Super Heavy (+91kg),9,NA
REZNICHENKO Darya,Uzbekistan,3 Apr 1991,Athletics,30,Female,NA,NA,TASHKENT,Uzbekistan,TASHKENT,Uzbekistan,Women's Long Jump,,NA
REZNIK Kateryna,Ukraine,20 Nov 1995,Artistic Swimming,25,Female,1.75,5'8'',KHARKIV,Ukraine,KHARKIV,Ukraine,Team,3,Bronze
REZOLA Ruben,Argentina,21 Apr 1991,Canoe Sprint,30,Male,1.74,5'8'',SANTA FE,Argentina,SANTA FE,Argentina,Men's Kayak Single 200m,15,NA
RI Haku,Japan,27 Dec 1990,Volleyball,30,Male,1.93,6'3'',MIYAZAKI,Japan,SHIZUOKA,Japan,Men,7,NA
RIABUSHENKO Aleksandr,Belarus,12 Oct 1995,Cycling Road,25,Male,NA,NA,MINSK,Belarus,BERGAMO,Italy,Men's Road Race,66,NA
RIBEIRO Gustavo,Portugal,27 Mar 2001,Skateboarding,20,Male,NA,NA,LISBON,Portugal,"HUNTINGTON BEACH, CA",United States of America,Men's Street,8,NA
RIBEIRO Joao,Portugal,19 Aug 1989,Canoe Sprint,31,Male,1.85,6'0'',,,,,Men's Kayak Four 500m,8,NA
RIBEIRO Sara Catarina,Portugal,31 May 1990,Athletics,31,Female,NA,NA,LOUSADA,Portugal,LOUSADA,Portugal,Women's Marathon,70,NA
RICCHI Beatrice,Italy,16 Oct 1993,Baseball/Softball,27,Female,1.68,5'6'',RIMINI,Italy,RIMINI,Italy,Softball,6,NA
RICCI Giampaolo,Italy,27 Sep 1991,Basketball,29,Male,2.01,6'7'',ROME,Italy,,,Men,5,NA
RICH-BAGHUELOU Jay,Australia,22 Oct 1999,Football,21,Male,1.96,6'5'',,,LONDON,Great Britain,Men,12,NA
RICHARDS Alexander,United States of America,12 Aug 1995,Rowing,25,Male,1.98,6'5'',,,,,Men's Eight,4,NA
RICHARDS Evie,Great Britain,11 Mar 1997,Cycling Mountain Bike,24,Female,NA,NA,WORCESTER,Great Britain,,,Women's Cross-country,7,NA
RICHARDS Jereem,Trinidad and Tobago,13 Jan 1994,Athletics,27,Male,NA,NA,POINT FORTIN,Trinidad and Tobago,UNITED STATES OF AMERICA,,Men's 200m,8,NA
RICHARDS Jereem,Trinidad and Tobago,13 Jan 1994,Athletics,27,Male,NA,NA,POINT FORTIN,Trinidad and Tobago,UNITED STATES OF AMERICA,,Men's 4 x 400m Relay,8,NA
RICHARDS Matthew,Great Britain,17 Dec 2002,Swimming,18,Male,NA,NA,WORCESTER,Great Britain,BATH,Great Britain,Men's 100m Freestyle,,NA
RICHARDS Matthew,Great Britain,17 Dec 2002,Swimming,18,Male,NA,NA,WORCESTER,Great Britain,BATH,Great Britain,Men's 4 x 100m Freestyle Relay,,NA
RICHARDS Matthew,Great Britain,17 Dec 2002,Swimming,18,Male,NA,NA,WORCESTER,Great Britain,BATH,Great Britain,Men's 4 x 200m Freestyle Relay,1,Gold
RICHARDSON Matthew,Australia,17 Apr 1999,Cycling Track,22,Male,1.72,5'7'',,,,,Men's Team Sprint,4,NA
RICHARDSON Matthew,Australia,17 Apr 1999,Cycling Track,22,Male,1.72,5'7'',,,,,Men's Sprint,22,NA
RICHARDSON Matthew,Australia,17 Apr 1999,Cycling Track,22,Male,1.72,5'7'',,,,,Men's Keirin,13,NA
RICHARDSON Melvyn,France,31 Jan 1997,Handball,24,Male,1.90,6'2'',MARSEILLE,France,,,Men,1,Gold
RICHARLISON,Brazil,10 May 1997,Football,24,Male,1.84,6'0'',NOVA VENECIA,Brazil,CROSBY,Great Britain,Men,1,Gold
RICHTER Marco,Germany,24 Nov 1997,Football,23,Male,1.75,5'8'',FRIEDBERG,Germany,,,Men,9,NA
RICHTER Sergey,Israel,23 Apr 1989,Shooting,32,Male,NA,NA,,Ukraine,REHOVOT,Israel,10m Air Rifle Men,27,NA
RICKETTS Shanieka,Jamaica,2 Feb 1992,Athletics,29,Female,NA,NA,SAINT ANDREW,Jamaica,KINGSTON,Jamaica,Women's Triple Jump,4,NA
RICKLES Nick,Israel,2 Feb 1990,Baseball/Softball,31,Male,1.90,6'2'',"FORT LAUDERDALE, FL",United States of America,"LAS VEGAS, NV",United States of America,Baseball,5,NA
RIDENOUR Payton,United States of America,29 May 2002,Cycling BMX Racing,19,Female,1.68,5'6'',,,"POTTSTOWN, PA",United States of America,Women,17,NA
RIDGE Amy,Australia,15 Aug 1996,Water Polo,24,Female,NA,NA,"SYDNEY, NSW",Australia,,,Women,5,NA
RIEDEMANN Laura,Germany,29 May 1998,Swimming,23,Female,NA,NA,HALLE,Germany,HALLE,Germany,Women's 100m Backstroke,,NA
RIEDEMANN Laura,Germany,29 May 1998,Swimming,23,Female,NA,NA,HALLE,Germany,HALLE,Germany,Women's 4 x 100m Medley Relay,,NA
RIEDER Celine,Germany,18 Jan 2001,Swimming,20,Female,NA,NA,WITTLICH,Germany,,,Women's 1500m Freestyle,,NA
RIENDEAU Vincent,Canada,13 Dec 1996,Diving,24,Male,1.78,5'10'',"MONTREAL, QC",Canada,"MONTREAL, QC",Canada,Men's Synchronised 10m Platform,5,NA
RIERA ZUZUARREGUI Lola,Spain,25 Jun 1991,Hockey,30,Female,1.72,5'7'',VALENCIA,Spain,VALENCIA,Spain,Women,7,NA
RIES Michel,Luxembourg,11 Mar 1998,Cycling Road,23,Male,NA,NA,,,,,Men's Road Race,73,NA
RIGNEY Tara,Australia,30 Mar 1999,Rowing,22,Female,NA,NA,,,,,Women's Double Sculls,7,NA
RIHOUX Charles,France,7 Mar 1998,Swimming,23,Male,NA,NA,,,NICE,France,Men's 4 x 100m Freestyle Relay,6,NA
RII Riilio,Vanuatu,22 Jun 1994,Rowing,27,Male,NA,NA,,,,,Men's Single Sculls,30,NA
RILEY Ali,New Zealand,30 Oct 1987,Football,33,Female,1.63,5'4'',"LOS ANGELES, CA",United States of America,"ORLANDO, FL",United States of America,Women,12,NA
RILEY Jacob,United States of America,2 Nov 1988,Athletics,32,Male,NA,NA,"SANTA CLARA, CA",United States of America,"BOULDER, CO",United States of America,Men's Marathon,29,NA
RINDOM Anne-Marie,Denmark,14 Jun 1991,Sailing,30,Female,1.70,5'6'',GENTOFTE,Denmark,AARHUS,Denmark,Women's One Person Dinghy - Laser Radial,1,Gold
RINER Teddy,France,7 Apr 1989,Judo,32,Male,NA,NA,POINTE-A-PITRE,France,PARIS,France,Men +100 kg,3,Bronze
