name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
ABOUKE Nancy Genzel,Nauru,5 Jul 2003,Weightlifting,18,Female,NA,NA,,,,,Women's 76kg,10,NA
ABRAHAM Tadesse,Switzerland,12 Aug 1982,Athletics,38,Male,NA,NA,ASMARA,Eritrea,GENEVA,Switzerland,Men's Marathon,DNF,NA
ABRAHAMS Rusten John,South Africa,16 Dec 1997,Hockey,23,Male,NA,NA,,,JOHANNESBURG,South Africa,Men,10,NA
ABRAMS Aliyah,Guyana,3 Apr 1997,Athletics,24,Female,NA,NA,"NEW YORK, NY",United States of America,UNITED STATES OF AMERICA,,Women's 400m,,NA
ABRAMS Jasmine,Guyana,14 Mar 1994,Athletics,27,Female,NA,NA,"NEW YORK, NY",United States of America,"ATLANTA, GA",United States of America,Women's 100m,,NA
ABRAMYAN Benik,Georgia,31 Jul 1985,Athletics,36,Male,NA,NA,,,,,Men's Shot Put,,NA
ABREU Diogo,Portugal,5 Sep 1993,Trampoline Gymnastics,27,Male,1.83,6'0'',"STANFORD, CA",United States of America,LISBON,Portugal,Men,,NA
ABRINES Alex,Spain,1 Aug 1993,Basketball,28,Male,1.98,6'5'',PALMA DE MALLORCA,Spain,,,Men,6,NA
ABROSIMOV Kirill,ROC,22 Nov 1991,Marathon Swimming,29,Male,NA,NA,YAROSLAVL,Russian Federation,YAROSLAVL,Russian Federation,Men's 10km,19,NA
ABU RABEE Asma,Jordan,28 Sep 1991,Shooting,29,Female,NA,NA,,,,,10m Air Pistol Women,44,NA
ABU RMILAH Wesam,Palestine,10 Dec 1995,Judo,25,Male,NA,NA,JERUSALEM,,,,Men -81 kg,17,NA
ABUAKU Joshua,Germany,7 Jul 1996,Athletics,25,Male,NA,NA,OBERHAUSEN,Germany,FRANKFURT AM MAIN,Germany,Men's 400m Hurdles,,NA
ABUJBARA Tala,Qatar,22 Jul 1992,Rowing,29,Female,1.78,5'10'',"ANCHORAGE, AK",United States of America,DOHA,Qatar,Women's Single Sculls,25,NA
ACERENZA Domenico,Italy,19 Jan 1995,Swimming,26,Male,NA,NA,POTENZA,Italy,POTENZA,Italy,Men's 1500m Freestyle,,NA
ACETI Vladimir,Italy,16 Oct 1998,Athletics,22,Male,1.78,5'10'',PETROZAVODSK,Russian Federation,GIUSSANO,Italy,Men's 4 x 400m Relay,7,NA
ACETI Vladimir,Italy,16 Oct 1998,Athletics,22,Male,1.78,5'10'',PETROZAVODSK,Russian Federation,GIUSSANO,Italy,4 x 400m Relay Mixed,,NA
ACEVEDO Javier,Canada,28 Jan 1998,Swimming,23,Male,NA,NA,"SCARBOROUGH, ON",Canada,"TORONTO, ON",Canada,Mixed 4 x 100m Medley Relay,,NA
ACHAB Jaouad,Belgium,20 Aug 1992,Taekwondo,28,Male,NA,NA,TANGER,Morocco,BRUSSELS,Belgium,Men -68kg,12,NA
ACHANTA Kamal,India,12 Jul 1982,Table Tennis,39,Male,NA,NA,MACHILIPATNAM,India,CHENNAI,India,Men's Singles,17,NA
ACHANTA Kamal,India,12 Jul 1982,Table Tennis,39,Male,NA,NA,MACHILIPATNAM,India,CHENNAI,India,Mixed Doubles,9,NA
ACHE Ragnar,Germany,28 Jul 1998,Football,23,Male,1.83,6'0'',FRANKFURT AM MAIN,Germany,,,Men,9,NA
ACHILLEOS Georgios,Cyprus,24 Dec 1980,Shooting,40,Male,1.75,5'8'',LONDON,Great Britain,,,Skeet Men,9,NA
ACHIUWA Precious,Nigeria,19 Sep 1999,Basketball,21,Male,2.03,6'7'',PORT HARCOURT,Nigeria,,,Men,10,NA
